love,52605
you,32694
to,30606
hello,27970
i,27049
are,26123
a,24207
beautiful,23098
how,22479
have,22455
happy,22378
this,21796
was,21509
good,21465
me,20287
fun,20065
what,19922
like,19612
about,19604
from,19010
so,18978
go,18965
is,18895
miss,18710
for,18601
do,18539
take,18379
my,18134
that,18098
on,17854
the,17446
want,16804
there,16545
also,16429
time,15910
thank you,15755
come,15697
it,15670
at,15504
get,15339
leave,15104
when,15083
next,14949
will,14891
become,14813
can,14811
by,14797
after,14341
Spanish,14307
work,14063
find,14056
meet,13854
food,13812
your,13811
learn,13665
nice,13552
try,13515
help,13363
see,13256
play,13253
hot,13164
stop,13128
welcome,13048
as,12979
dog,12940
show,12940
of,12907
make,12817
son,12603
old,12600
summer,12575
comer,12431
enjoy,12347
name,12251
some,12244
in,12125
day,12106
need,12090
with,11971
know,11958
sorry,11825
only,11795
but,11719
English,11612
hope,11594
look,11553
birthday,11185
sexy,11181
because,11159
stay,11133
baby,11112
where,11039
people,11007
hi,10909
car,10831
fish,10822
return,10796
more,10784
and,10683
again,10653
lunch,10650
sleep,10610
no,10607
excited,10537
last,10474
country,10440
why,10397
best,10340
be,10328
back,10260
small,10256
give,10249
now,10216
place,10151
however,10137
has,10105
mean,10078
move,10046
morning,10032
entender,10018
funny,9996
all,9940
most,9886
who,9876
room,9868
until,9825
even,9790
think,9764
call,9734
bring,9708
arrive,9651
little,9621
brown,9618
rain,9606
long,9539
mayor,9505
red,9494
right,9493
dinner,9488
eat,9462
tell,9412
tired,9404
through,9395
great,9392
sister,9366
leer,9343
story,9331
would,9318
first,9305
care,9297
today,9282
start,9279
close,9201
sex,9191
watch,9181
girl,9176
fall,9141
dictionary,9137
end,9106
hoy,9104
soon,9067
say,9060
before,9031
very,9011
school,8998
sonar,8953
drive,8948
penis,8942
Friday,8917
left,8894
fight,8877
orange,8850
plan,8817
tomorrow,8812
brother,8781
understand,8767
soy,8748
shit,8718
around,8675
bed,8630
live,8615
here,8606
pie,8588
please,8554
later,8548
many,8542
kiss,8526
yes,8522
ask,8472
table,8471
walk,8462
provide,8437
open,8397
home,8346
run,8335
address,8271
outside,8263
he,8250
travel,8234
over,8207
cute,8157
wait,8157
teach,8156
support,8153
drink,8127
going,8100
am,8083
if,8073
solo,8069
antes,8015
cake,7969
way,7925
since,7890
pretty,7889
money,7861
hard,7834
remember,7827
should,7800
ass,7788
may,7749
which,7748
experience,7731
clean,7724
hair,7703
daughter,7685
free,7678
we,7677
went,7671
sometimes,7667
any,7650
language,7642
face,7630
pool,7618
man,7616
ride,7613
dance,7577
too,7574
sweet,7568
heart,7562
pussy,7545
weather,7529
feel,7512
instead,7495
sad,7463
job,7447
game,7415
hurt,7414
mother,7400
while,7393
year,7391
together,7340
pan,7331
speak,7327
cat,7318
breakfast,7269
light,7260
wear,7256
meter,7252
up,7243
maybe,7193
short,7181
dress,7164
change,7158
Thursday,7127
lead,7102
fire,7092
just,7075
had,7065
teacher,7038
bird,7032
house,7025
send,7013
well,7001
dick,6992
both,6981
vagina,6977
chicken,6974
born,6967
big,6963
apple,6942
party,6939
woman,6929
break,6917
order,6910
new,6898
our,6866
create,6862
dear,6859
always,6845
better,6816
family,6802
book,6801
save,6801
wish,6795
or,6736
pig,6701
attend,6692
busy,6688
die,6667
out,6664
use,6657
laugh,6597
keep,6595
answer,6591
dream,6589
lose,6571
UN,6552
children,6532
head,6522
vender,6506
cook,6498
were,6493
amazing,6489
trip,6486
wife,6479
hold,6476
angry,6461
business,6447
movie,6443
death,6437
they,6434
top,6431
purple,6408
put,6401
tree,6399
same,6376
june,6356
check,6322
one,6321
add,6305
although,6303
dice,6300
picture,6296
believe,6290
turn,6280
not,6266
stupid,6266
boy,6241
banana,6238
beach,6231
shower,6231
much,6230
bad,6223
bear,6212
kill,6211
television,6208
month,6199
hate,6197
bowl,6164
talk,6137
fat,6133
each,6130
choose,6126
chair,6125
read,6077
sugar,6073
other,6068
into,6064
cold,6063
door,6032
therefore,6026
lost,6010
often,5994
cup,5993
real,5990
agree,5978
follow,5959
night,5955
world,5946
computer,5938
lazy,5925
sick,5917
cousin,5908
vacation,5894
sea,5892
ice cream,5889
basketball,5881
grow,5855
music,5851
sit,5846
made,5837
schedule,5826
different,5825
sink,5825
between,5824
thanks,5823
join,5815
safe,5810
gusto,5794
allow,5791
strong,5789
date,5788
smile,5786
young,5781
did,5778
fast,5775
anything,5774
early,5772
blue,5768
fly,5748
mama,5748
romper,5738
mar,5726
spend,5706
word,5700
begin,5691
toilet,5683
yellow,5681
quiet,5661
beginning,5660
restaurant,5649
every,5628
hear,5604
God,5596
his,5587
Wednesday,5587
embargo,5585
goodbye,5585
twenty,5584
buy,5579
shirt,5551
forget,5547
alto,5545
hat,5544
study,5535
AL,5525
hit,5520
everyone,5517
holiday,5515
hotel,5503
power,5498
beer,5487
store,5487
chocolate,5473
reason,5468
finish,5467
doctor,5457
gold,5450
share,5450
song,5446
bathroom,5414
floor,5410
Saturday,5410
rest,5407
high school,5401
ball,5396
listen,5395
Monday,5391
visit,5391
dirty,5386
expensive,5386
hundred,5379
never,5374
release,5356
color,5347
Tuesday,5341
team,5334
these,5332
gay,5320
her,5313
black,5309
winter,5307
own,5306
asshole,5301
week,5300
bye,5297
kind,5293
sign,5287
found,5274
boat,5270
smart,5266
something,5265
warm,5254
request,5250
away,5232
VA,5223
crazy,5218
full,5217
college,5211
challenge,5210
cry,5207
dark,5201
slow,5198
pain,5191
era,5168
spring,5155
media,5150
butt,5147
research,5143
white,5138
awesome,5131
class,5124
character,5119
loud,5119
win,5099
issue,5097
vale,5097
green,5095
major,5094
enough,5093
hand,5085
desk,5080
stand,5080
husband,5071
encourage,5070
main,5064
fin,5055
wall,5053
exercise,5052
once,5048
father,5046
snow,5046
pepper,5043
park,5028
grass,5027
thank,5020
ocean,5008
monkey,5000
down,4996
foot,4991
another,4972
kitchen,4972
focus,4969
six,4965
late,4964
realize,4961
four,4951
body,4949
enter,4947
bored,4942
could,4932
history,4928
everything,4918
oil,4915
field,4913
than,4910
ten,4904
hug,4900
environment,4897
set,4895
health,4887
everybody,4884
performance,4884
sandwich,4879
mad,4875
inside,4867
church,4862
above,4859
idea,4855
their,4854
sol,4848
meeting,4845
building,4843
dolor,4836
almost,4834
cheese,4834
hungry,4833
finally,4825
control,4806
delicious,4794
under,4792
bedroom,4788
high,4776
dessert,4774
location,4770
cut,4766
land,4763
healthy,4755
relax,4753
scared,4742
graduate,4735
favorite,4730
near,4729
company,4717
wrong,4713
appreciate,4709
area,4689
fine,4684
sale,4680
pronto,4675
goal,4670
butter,4668
letter,4668
test,4664
unique,4663
rice,4659
act,4658
season,4657
knife,4656
cover,4654
thought,4642
tomato,4640
raise,4634
easy,4618
mom,4613
window,4612
half,4601
dale,4596
remove,4584
poor,4583
surprise,4583
worry,4577
perform,4574
receive,4572
sincerely,4565
forever,4560
exciting,4548
behind,4545
bar,4542
cost,4540
bus,4538
cause,4534
pink,4532
throughout,4532
decide,4529
fact,4529
trust,4527
hey,4526
grade,4510
spread,4502
court,4497
relationship,4494
feet,4493
government,4492
shopping,4487
candy,4481
cheap,4477
similar,4473
record,4468
degree,4462
unfortunately,4460
part,4457
influence,4444
mix,4444
baseball,4440
star,4438
improve,4435
must,4435
arm,4434
flower,4434
vista,4433
wake up,4431
glass,4429
milk,4420
capital,4418
complete,4417
successful,4416
pay,4413
ticket,4413
second,4409
swim,4408
fix,4407
mind,4402
strawberry,4402
yesterday,4397
let,4395
difficult,4375
onion,4375
corn,4373
contra,4371
rock,4366
ti,4362
happen,4352
caf�,4346
scary,4340
French,4337
got,4337
jump,4336
boss,4335
boring,4327
boyfriend,4325
pass,4323
aunt,4320
suck,4315
write,4312
war,4304
clothes,4299
ugly,4293
continue,4280
farm,4275
wonderful,4272
two,4265
marry,4264
okay,4258
success,4253
sun,4250
include,4248
increase,4245
correct,4241
king,4237
Sunday,4235
fifty,4231
largo,4230
simple,4224
spoon,4217
catch,4214
papa,4212
three,4210
luck,4208
far,4201
really,4200
tender,4199
married,4197
third,4196
attach,4191
build,4189
knowledge,4188
vegetable,4183
choice,4178
comfortable,4178
girlfriend,4176
beat,4169
ice,4168
taste,4168
child,4166
lady,4160
bread,4159
coffee,4159
sound,4157
ready,4155
smell,4150
town,4141
alone,4139
painting,4136
ring,4135
january,4133
leg,4133
juice,4130
race,4117
special,4111
tour,4110
hospital,4101
base,4099
beef,4098
train,4090
news,4084
throw,4078
front,4071
shrimp,4066
potato,4065
them,4058
box,4057
ear,4056
cow,4055
thirty,4053
practice,4044
bill,4042
she,4042
shorts,4037
valor,4037
uncle,4035
homework,4033
paint,4032
sell,4030
july,4029
barrio,4024
pizza,4023
fear,4021
leader,4021
review,4016
subject,4015
despite,4013
background,4005
poop,3994
hide,3993
age,3984
steak,3984
tall,3982
nose,3976
dead,3975
shop,3970
match,3964
closet,3961
pastel,3957
peace,3956
type,3954
against,3953
form,3949
office,3949
side,3942
weekend,3942
mono,3941
number,3936
seven,3928
August,3921
few,3914
off,3902
present,3902
east,3893
don't,3887
broken,3885
pen,3881
silver,3881
respect,3870
nothing,3866
state,3866
struggle,3866
ha,3863
fan,3862
during,3861
career,3845
became,3844
already,3837
cine,3837
trade,3833
forty,3826
trouble,3826
salt,3819
friendly,3815
tie,3813
rate,3809
average,3807
army,3806
said,3805
wedding,3801
board,3797
remain,3794
view,3792
fail,3791
meal,3791
mouth,3789
current,3788
paper,3786
sentence,3786
south,3786
interesting,3785
problem,3784
size,3781
soda,3781
question,3779
available,3773
proud,3772
skill,3766
jealous,3764
across,3761
policy,3744
done,3743
wash,3736
popular,3734
snake,3732
living room,3731
notice,3728
soccer,3727
swimming,3722
forest,3713
manager,3713
egg,3711
video,3711
angel,3707
force,3704
fair,3702
million,3702
sand,3701
dry,3696
pasta,3696
pelota,3696
fork,3695
whore,3689
refrigerator,3682
chance,3681
appear,3678
though,3672
offer,3669
pork,3667
animal,3666
saw,3657
doing,3656
role,3655
search,3653
football,3653
fifteen,3652
TRUE,3647
expect,3644
sure,3642
camp,3641
Spain,3639
large,3634
deal,3629
require,3626
reach,3620
meat,3619
club,3618
flour,3617
fruit,3617
nurse,3617
whatever,3614
phone,3609
queen,3606
west,3601
able,3600
gift,3595
key,3590
science,3590
snack,3590
due,3589
library,3586
singer,3580
NI,3573
yet,3570
without,3567
middle,3562
mirror,3562
lucky,3559
discover,3557
either,3549
favor,3547
soft,3546
dish,3544
serve,3542
sky,3539
cookie,3538
newspaper,3538
neck,3533
usually,3528
Mexico,3528
past,3522
treat,3520
such,3519
Turkey,3519
birth,3516
telephone,3516
award,3514
attempt,3512
develop,3512
bonito,3511
mountain,3507
strength,3507
especially,3500
truck,3499
bag,3495
line,3493
burn,3482
hurry,3482
promise,3478
period,3477
climb,3473
common,3473
case,3469
salon,3468
helpful,3466
wood,3465
amount,3462
purpose,3462
master,3458
wet,3455
heat,3454
fit,3452
ground,3452
beauty,3448
mall,3443
annoying,3442
stress,3441
speech,3431
thing,3427
pants,3426
bacon,3425
hole,3424
population,3421
evil,3418
ever,3417
him,3415
piece,3412
famous,3411
blanket,3410
protect,3410
course,3408
culture,3402
van,3399
source,3398
decision,3397
tea,3396
cargo,3395
finished,3395
event,3393
brush,3392
gripe,3391
fourth,3390
concern,3388
step,3386
being,3383
supply,3382
track,3381
frog,3379
o,3378
wonder,3378
weird,3375
update,3373
been,3369
nature,3367
desert,3363
rich,3363
pencil,3357
gran,3355
lover,3352
trash,3352
someone,3350
interest,3341
host,3338
attack,3336
mover,3335
report,3335
sport,3334
women,3334
goat,3332
jacket,3329
religion,3329
rent,3329
nine,3324
steal,3323
point,3322
style,3319
drunk,3312
military,3310
touch,3310
tonight,3302
judge,3299
lesson,3299
perhaps,3298
statement,3296
mistake,3288
patron,3280
five,3279
dad,3275
gorgeous,3274
pregnant,3274
band,3270
drop,3266
except,3264
contact,3260
silly,3260
pillow,3257
final,3255
design,3252
road,3250
sports,3247
joke,3246
stick,3242
advice,3239
feeling,3235
freedom,3229
blood,3227
approach,3226
lake,3223
guess,3216
claim,3214
grave,3211
police,3210
I'm,3210
took,3209
airplane,3206
future,3206
honor,3206
rule,3206
anymore,3205
excuse,3205
padre,3204
sing,3195
skin,3191
flight,3190
lift,3188
couch,3186
via,3185
arena,3182
bright,3182
river,3182
march,3181
flag,3177
ago,3176
immediately,3176
draw,3175
everyday,3169
project,3166
information,3158
wind,3156
sal,3155
cream,3154
disease,3154
essay,3150
shy,3149
garlic,3145
insurance,3144
price,3141
anyway,3139
neighborhood,3137
clock,3136
pick up,3136
waste,3133
deserve,3127
honey,3127
result,3126
understanding,3126
straight,3124
suit,3124
golf,3123
rabbit,3121
carry,3118
gym,3118
card,3113
coach,3113
sixteen,3113
somebody,3111
marriage,3106
dangerous,3102
including,3100
breast,3097
film,3095
stomach,3093
confused,3085
meaning,3083
pray,3080
escape,3076
dime,3073
happiness,3073
vanilla,3072
achieve,3070
placer,3069
carrot,3065
celebrate,3065
regret,3064
quote,3063
weight,3063
person,3061
deep,3057
pet,3057
salad,3054
message,3053
oven,3051
plant,3051
volleyball,3050
consider,3049
accept,3048
grandmother,3047
sunny,3047
nobody,3042
alcohol,3041
general,3038
necklace,3037
teeth,3034
ability,3033
childhood,3032
cunt,3031
watermelon,3030
murder,3025
email,3021
status,3009
serious,3005
suave,3004
cross,3002
student,3000
forward,2999
desire,2997
sauce,2996
afraid,2992
strange,2986
thin,2977
weak,2975
discuss,2974
peso,2972
social,2965
faith,2961
glasses,2960
bite,2957
bake,2956
wine,2955
journey,2954
clear,2952
apply,2950
example,2950
nephew,2950
value,2949
cereal,2946
avoid,2944
shape,2944
airport,2942
interview,2941
fill,2939
France,2936
destroy,2935
peanut,2934
attention,2933
air,2932
mouse,2931
coat,2930
everywhere,2930
appointment,2928
wild,2924
caring,2921
below,2920
empty,2920
came,2918
recently,2915
pour,2913
pick,2912
shoot,2908
whole,2908
DOS,2907
mail,2907
plot,2907
player,2904
involve,2903
balance,2902
selfish,2900
towel,2887
matter,2883
waiter,2877
hopefully,2876
hell,2875
score,2872
shark,2869
cherry,2868
worth,2868
file,2867
medicine,2865
menu,2864
does,2862
rude,2862
space,2856
staff,2856
writing,2855
upset,2850
anybody,2849
niece,2846
principal,2846
volunteer,2846
defeat,2843
guitar,2841
radio,2839
yard,2839
lion,2838
neighbor,2837
brain,2829
calm,2827
roll,2827
stove,2826
rise,2825
sheep,2824
pack,2821
those,2821
pride,2820
stage,2819
argue,2816
brave,2815
lonely,2813
soup,2810
truth,2807
blueberry,2806
jewelry,2806
sofa,2805
overall,2805
zoo,2803
single,2797
knee,2792
plate,2792
princess,2788
prevent,2782
farmer,2777
link,2777
remind,2777
magazine,2776
liar,2772
necessary,2772
olla,2772
along,2769
pot,2765
dumb,2762
dollar,2760
peach,2760
fresco,2758
earn,2753
eye,2752
